step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
92,292,3184,4169,2601,1328,3020,4091,2577,1277,164,78,24,51,167.0,58.0,87.0,31.0,4.9,5.1,5.1,5.1,34.0,35.0,37.0,33.0,0.40729615092277527,-0.822354793548584,0.9342101812362671,-0.3250094950199127
93,293,3318,4276,2595,1439,3060,4089,2577,1285,258,187,18,154,329.0,198.0,61.0,136.0,4.4,5.0,4.8,5.1,34.0,35.0,37.0,33.0,0.8976026177406311,0.7168161273002625,-0.04035082459449768,0.7436415553092957
94,294,3390,4215,2664,1482,3062,4088,2623,1284,328,127,41,198,554.0,108.0,174.0,195.0,4.5,4.9,4.7,4.3,34.0,35.0,37.0,33.0,0.650327742099762,-0.4122845232486725,0.46547284722328186,0.28751227259635925
95,295,3315,4352,2598,1541,3062,4088,2590,1311,253,264,8,230,296.0,336.0,29.0,253.0,4.7,4.8,4.8,4.6,35.0,35.0,37.0,34.0,0.5164167881011963,0.9141889810562134,-0.44195273518562317,0.39416205883026123
96,296,3348,4416,2450,1675,3062,4087,2438,1448,286,329,12,227,367.0,464.0,38.0,245.0,4.5,4.7,4.8,4.3,35.0,35.0,37.0,34.0,0.28491896390914917,0.5918424129486084,-0.9876303672790527,0.9847297668457031
97,297,3431,4451,2428,1802,3062,4087,2421,1449,369,364,7,353,508.0,526.0,23.0,475.0,4.0,4.6,4.2,4.6,35.0,36.0,37.0,34.0,0.8373292684555054,0.43521276116371155,-0.14989744126796722,0.9394692182540894
98,298,3429,4440,2559,1857,3062,4086,2492,1446,367,354,67,411,490.0,465.0,293.0,589.0,3.8,4.5,4.1,4.3,36.0,36.0,36.0,34.0,0.798872709274292,0.3098090887069702,0.8740620613098145,0.6972787380218506
99,299,3416,4427,2410,1782,3062,4086,2399,1500,354,341,11,282,488.0,475.0,31.0,334.0,4.1,4.5,4.5,4.1,36.0,36.0,37.0,35.0,-0.21669544279575348,0.8758701086044312,-0.9964990019798279,0.7627191543579102
100,300,3341,4352,2535,1789,3062,4085,2458,1496,279,267,77,293,337.0,296.0,359.0,360.0,4.5,4.5,4.1,4.2,36.0,36.0,37.0,35.0,0.7709392309188843,-0.9436541795730591,0.833672285079956,0.06630818545818329
101,301,3347,4406,2411,1872,3062,4085,2399,1517,285,321,12,355,340.0,430.0,35.0,473.0,4.1,4.5,4.5,4.4,36.0,37.0,37.0,35.0,0.041733454912900925,0.46977776288986206,-0.8282350897789001,0.8155056238174438
